NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_003393270.4	PREDICTED: Bombus terrestris NPC intracellular cholesterol transporter 1 (LOC100649487), transcript variant X2, mRNA
XM_003393272.4	PREDICTED: Bombus terrestris glutamate receptor ionotropic, kainate 2 (LOC100649795), transcript variant X2, mRNA
XM_003393284.4	PREDICTED: Bombus terrestris TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (LOC100651669), transcript variant X1, mRNA
XM_003393285.4	PREDICTED: Bombus terrestris mucin-3A (LOC100651788), transcript variant X1, mRNA
XM_003393286.4	PREDICTED: Bombus terrestris flap endonuclease GEN (LOC100652029), transcript variant X1, mRNA
XM_003393288.4	PREDICTED: Bombus terrestris tyramine receptor 1 (LOC100642236), transcript variant X1, mRNA
XM_003393289.4	PREDICTED: Bombus terrestris tyramine receptor 1 (LOC100642236), transcript variant X2, mRNA
XM_003393290.3	PREDICTED: Bombus terrestris uncharacterized LOC100642554 (LOC100642554), mRNA
XM_003393292.4	PREDICTED: Bombus terrestris peritrophin-1 (LOC100643150), transcript variant X2, mRNA
XM_003393293.4	PREDICTED: Bombus terrestris peritrophin-1 (LOC100642915), mRNA
XM_003393295.4	PREDICTED: Bombus terrestris peritrophin-1 (LOC100643150), transcript variant X1, mRNA
XM_003393296.3	PREDICTED: Bombus terrestris SEC23-interacting protein (LOC100643273), transcript variant X1, mRNA
XM_003393301.4	PREDICTED: Bombus terrestris heat shock 70 kDa protein cognate 5 (LOC100644048), mRNA
XM_003393304.4	PREDICTED: Bombus terrestris Kv channel-interacting protein 4 (LOC100644388), transcript variant X1, mRNA
XM_003393305.4	PREDICTED: Bombus terrestris uncharacterized LOC100644509 (LOC100644509), mRNA
XM_003393306.4	PREDICTED: Bombus terrestris uncharacterized LOC100644630 (LOC100644630), transcript variant X2, mRNA
XM_003393307.4	PREDICTED: Bombus terrestris uncharacterized LOC100644630 (LOC100644630), transcript variant X1, mRNA
XM_003393309.4	PREDICTED: Bombus terrestris uncharacterized LOC100644953 (LOC100644953), transcript variant X3, mRNA
XM_003393311.4	PREDICTED: Bombus terrestris segmentation protein cap'n'collar (LOC100645181), transcript variant X1, mRNA
XM_003393312.4	PREDICTED: Bombus terrestris ATP-dependent RNA helicase vasa (LOC100645309), transcript variant X1, mRNA
XM_003393313.4	PREDICTED: Bombus terrestris ATP-dependent RNA helicase vasa (LOC100645309), transcript variant X2, mRNA
XM_003393314.4	PREDICTED: Bombus terrestris protein DPCD (LOC100645514), mRNA
XM_003393315.4	PREDICTED: Bombus terrestris endoplasmic reticulum aminopeptidase 1 (LOC100645619), transcript variant X1, mRNA
XM_003393321.4	PREDICTED: Bombus terrestris zinc finger protein ZFP2 (LOC100646370), transcript variant X1, mRNA
XM_003393322.4	PREDICTED: Bombus terrestris glycerol kinase (LOC100646493), transcript variant X1, mRNA
XM_003393323.4	PREDICTED: Bombus terrestris 26S proteasome regulatory subunit 6A-B (LOC100646613), mRNA
XM_003393324.4	PREDICTED: Bombus terrestris RNA-binding protein 8A (LOC100646731), mRNA
XM_003393325.4	PREDICTED: Bombus terrestris alpha-catulin (LOC100646853), transcript variant X4, mRNA
XM_003393326.4	PREDICTED: Bombus terrestris alpha-catulin (LOC100646853), transcript variant X2, mRNA
XM_003393329.4	PREDICTED: Bombus terrestris cytochrome P450 9e2 (LOC100647368), mRNA
XM_003393331.4	PREDICTED: Bombus terrestris cytochrome P450 9e2 (LOC100647566), mRNA
XM_003393334.4	PREDICTED: Bombus terrestris membralin (LOC100647924), transcript variant X1, mRNA
XM_003393335.4	PREDICTED: Bombus terrestris cilia- and flagella-associated protein 410 (LOC100648045), transcript variant X1, mRNA
XM_003393336.4	PREDICTED: Bombus terrestris cilia- and flagella-associated protein 410 (LOC100648045), transcript variant X3, mRNA
XM_003393337.4	PREDICTED: Bombus terrestris aurora kinase C (LOC100648234), mRNA
XM_003393340.4	PREDICTED: Bombus terrestris cytochrome P450 9e2 (LOC100648545), mRNA
XM_003393343.4	PREDICTED: Bombus terrestris solute carrier family 12 member 9 (LOC100648926), mRNA
XM_003393344.4	PREDICTED: Bombus terrestris enoyl-[acyl-carrier-protein] reductase, mitochondrial (LOC100649045), transcript variant X1, mRNA
XM_003393345.4	PREDICTED: Bombus terrestris protein OSCP1 (LOC100649163), transcript variant X1, mRNA
XM_003393346.4	PREDICTED: Bombus terrestris acetylcholine receptor subunit beta-like 1 (LOC100649612), mRNA
XM_003393347.4	PREDICTED: Bombus terrestris neuronal acetylcholine receptor subunit alpha-7 (LOC100649796), transcript variant X2, mRNA
XM_003393348.4	PREDICTED: Bombus terrestris testis-specific serine/threonine-protein kinase 3-like (LOC100649913), mRNA
XM_003393349.4	PREDICTED: Bombus terrestris putative protein tag-52 (LOC100650025), transcript variant X1, mRNA
XM_003393353.4	PREDICTED: Bombus terrestris mitochondrial inner membrane protease ATP23 homolog (LOC100650513), mRNA
XM_003393355.4	PREDICTED: Bombus terrestris protein quiver (LOC100650755), transcript variant X6, mRNA
XM_003393358.4	PREDICTED: Bombus terrestris short coiled-coil protein B (LOC100651188), transcript variant X3, mRNA
XM_003393359.4	PREDICTED: Bombus terrestris fibroblast growth factor 1 (LOC100651312), mRNA
XM_003393360.4	PREDICTED: Bombus terrestris photoreceptor-specific nuclear receptor (LOC100651432), transcript variant X4, mRNA
XM_003393361.4	PREDICTED: Bombus terrestris thrombospondin type-1 domain-containing protein 4 (LOC100651551), transcript variant X1, mRNA
XM_003393366.4	PREDICTED: Bombus terrestris uncharacterized LOC100652103 (LOC100652103), transcript variant X1, mRNA
XM_003393367.4	PREDICTED: Bombus terrestris rho GTPase-activating protein 7 (LOC100652305), transcript variant X1, mRNA
XM_003393369.3	PREDICTED: Bombus terrestris protein tipE (LOC100642393), mRNA
XM_003393371.3	PREDICTED: Bombus terrestris protein tipE (LOC100642677), transcript variant X1, mRNA
XM_003393372.3	PREDICTED: Bombus terrestris uncharacterized LOC100642796 (LOC100642796), mRNA
XM_003393373.3	PREDICTED: Bombus terrestris homeobox protein GBX-2 (LOC100642916), mRNA
XM_003393375.4	PREDICTED: Bombus terrestris dynactin subunit 6 (LOC100643030), transcript variant X2, mRNA
XM_003393377.4	PREDICTED: Bombus terrestris histidine decarboxylase (LOC100643518), transcript variant X2, mRNA
XM_003393379.4	PREDICTED: Bombus terrestris poly(A) polymerase type 3 (LOC100643840), transcript variant X1, mRNA
XM_003393380.4	PREDICTED: Bombus terrestris protein phosphatase methylesterase 1 (LOC100643963), mRNA
XM_003393385.4	PREDICTED: Bombus terrestris odorant receptor 82a (LOC100644510), mRNA
XM_003393390.4	PREDICTED: Bombus terrestris NK-tumor recognition protein (LOC100645113), transcript variant X1, mRNA
XM_003393395.4	PREDICTED: Bombus terrestris protein ecdysoneless homolog (LOC100645701), mRNA
XM_003393396.4	PREDICTED: Bombus terrestris tether containing UBX domain for GLUT4 (LOC100645820), transcript variant X4, mRNA
XM_003393398.4	PREDICTED: Bombus terrestris sodium/potassium/calcium exchanger 4 (LOC100646052), transcript variant X1, mRNA
XM_003393399.4	PREDICTED: Bombus terrestris cdc42 homolog (LOC100646168), transcript variant X1, mRNA
XM_003393400.4	PREDICTED: Bombus terrestris sodium/potassium/calcium exchanger 4 (LOC100646283), transcript variant X1, mRNA
XM_003393402.4	PREDICTED: Bombus terrestris voltage-gated potassium channel subunit beta-2 (LOC100646402), transcript variant X2, mRNA
XM_003393403.4	PREDICTED: Bombus terrestris sodium/potassium/calcium exchanger 3-like (LOC100646614), transcript variant X1, mRNA
XM_003393404.4	PREDICTED: Bombus terrestris solute carrier family 35 member B1 (LOC100646732), mRNA
XM_003393405.4	PREDICTED: Bombus terrestris formylglycine-generating enzyme (LOC100646854), transcript variant X1, mRNA
XM_003393407.4	PREDICTED: Bombus terrestris uncharacterized LOC100647054 (LOC100647054), mRNA
XM_003393409.4	PREDICTED: Bombus terrestris 5'-3' exonuclease PLD3 (LOC100647172), transcript variant X3, mRNA
XM_003393413.4	PREDICTED: Bombus terrestris cytochrome b-c1 complex subunit Rieske, mitochondrial (LOC100647717), mRNA
XM_003393414.4	PREDICTED: Bombus terrestris vanin-like protein 1 (LOC100647835), transcript variant X1, mRNA
XM_003393421.4	PREDICTED: Bombus terrestris sodium channel protein Nach (LOC100648667), transcript variant X1, mRNA
XM_003393422.3	PREDICTED: Bombus terrestris IQ and ubiquitin-like domain-containing protein (LOC100648893), transcript variant X2, mRNA
XM_003393423.4	PREDICTED: Bombus terrestris N-alpha-acetyltransferase 35, NatC auxiliary subunit (LOC100649015), transcript variant X1, mRNA
XM_003393424.4	PREDICTED: Bombus terrestris nascent polypeptide-associated complex subunit alpha (LOC100649127), transcript variant X1, mRNA
XM_003393426.4	PREDICTED: Bombus terrestris condensin complex subunit 2 (LOC100649367), mRNA
XM_003393429.4	PREDICTED: Bombus terrestris homeobox protein engrailed-1a (LOC100649797), mRNA
XM_003393434.4	PREDICTED: Bombus terrestris LIM and SH3 domain protein Lasp (LOC100650472), transcript variant X1, mRNA
XM_003393436.4	PREDICTED: Bombus terrestris 3-hydroxyisobutyrate dehydrogenase, mitochondrial (LOC100650674), transcript variant X1, mRNA
XM_003393438.4	PREDICTED: Bombus terrestris NAD kinase 2, mitochondrial (LOC100650994), mRNA
XM_003393439.4	PREDICTED: Bombus terrestris steroidogenic acute regulatory protein-like (LOC100651116), mRNA
XM_003393441.4	PREDICTED: Bombus terrestris diacylglycerol kinase 1 (LOC100651358), mRNA
XM_003393443.3	PREDICTED: Bombus terrestris probable galactose-1-phosphate uridylyltransferase (LOC100651593), transcript variant X2, mRNA
XM_003393445.4	PREDICTED: Bombus terrestris proteasome subunit alpha type-6 (LOC100651829), mRNA
XM_003393447.4	PREDICTED: Bombus terrestris rRNA-processing protein UTP23 homolog (LOC100652069), mRNA
XM_003393448.4	PREDICTED: Bombus terrestris probable small nuclear ribonucleoprotein Sm D2 (LOC100652185), mRNA
XM_003393451.4	PREDICTED: Bombus terrestris probable serine/threonine-protein kinase DDB_G0282963 (LOC100642394), mRNA
XM_003393454.4	PREDICTED: Bombus terrestris dynein axonemal intermediate chain 7 homolog (LOC100642747), transcript variant X1, mRNA
XM_003393457.3	PREDICTED: Bombus terrestris uncharacterized LOC100644202 (LOC100644202), transcript variant X1, mRNA
XM_003393470.4	PREDICTED: Bombus terrestris HIRA-interacting protein 3 (LOC100646016), mRNA
XM_003393471.4	PREDICTED: Bombus terrestris DNA-binding protein RFXANK (LOC100646134), mRNA
XM_003393476.4	PREDICTED: Bombus terrestris angiopoietin-1 receptor (LOC100646733), mRNA
XM_003393478.4	PREDICTED: Bombus terrestris RNA-binding protein 25 (LOC100646974), transcript variant X1, mRNA
XM_003393483.4	PREDICTED: Bombus terrestris L-galactose dehydrogenase (LOC100647407), transcript variant X1, mRNA
XM_003393484.4	PREDICTED: Bombus terrestris N-acetyltransferase family 8 member 3 (LOC100647605), mRNA
XM_003393486.4	PREDICTED: Bombus terrestris laccase-1-like (LOC100648007), mRNA
XM_003393487.4	PREDICTED: Bombus terrestris chymotrypsin-1 (LOC100648122), mRNA
XM_003393488.4	PREDICTED: Bombus terrestris chymotrypsin-1-like (LOC100648235), mRNA
XM_003393489.4	PREDICTED: Bombus terrestris transmembrane protein 39A (LOC100648351), transcript variant X1, mRNA
XM_003393490.4	PREDICTED: Bombus terrestris zinc finger protein 214 (LOC100648469), transcript variant X1, mRNA
XM_003393491.4	PREDICTED: Bombus terrestris 8-oxo-dGDP phosphatase NUDT18 (LOC100648588), mRNA
XM_003393492.4	PREDICTED: Bombus terrestris membrane-bound transcription factor site-2 protease (LOC100648700), mRNA
XM_003393493.4	PREDICTED: Bombus terrestris transcription initiation factor IIA subunit 2 (LOC100648812), mRNA
XM_003393494.4	PREDICTED: Bombus terrestris uncharacterized LOC100648927 (LOC100648927), transcript variant X5, mRNA
XM_003393495.4	PREDICTED: Bombus terrestris uncharacterized LOC100648927 (LOC100648927), transcript variant X6, mRNA
XM_003393497.4	PREDICTED: Bombus terrestris charged multivesicular body protein 6 (LOC100649248), mRNA
XM_003393502.4	PREDICTED: Bombus terrestris coiled-coil domain-containing protein 124 (LOC100649954), mRNA
XM_003393503.4	PREDICTED: Bombus terrestris DNA-dependent metalloprotease dvc-1 (LOC100650068), transcript variant X1, mRNA
XM_003393504.4	PREDICTED: Bombus terrestris UPF0235 protein C15orf40 homolog (LOC100650189), mRNA
XM_003393508.4	PREDICTED: Bombus terrestris uncharacterized LOC100650835 (LOC100650835), transcript variant X1, mRNA
XM_003393509.4	PREDICTED: Bombus terrestris uncharacterized LOC100650950 (LOC100650950), transcript variant X2, mRNA
XM_003393510.4	PREDICTED: Bombus terrestris damage-control phosphatase ARMT1 (LOC100651067), transcript variant X2, mRNA
XM_003393511.4	PREDICTED: Bombus terrestris lachesin (LOC100651189), transcript variant X1, mRNA
XM_003393512.4	PREDICTED: Bombus terrestris uncharacterized LOC100651313 (LOC100651313), mRNA
XM_003393514.3	PREDICTED: Bombus terrestris thyroid receptor-interacting protein 11 (LOC100651552), mRNA
XM_003393516.4	PREDICTED: Bombus terrestris signal recognition particle 9 kDa protein (LOC100651867), transcript variant X1, mRNA
XM_003393521.4	PREDICTED: Bombus terrestris DNA-binding protein D-ETS-4 (LOC100642277), transcript variant X1, mRNA
XM_003393526.3	PREDICTED: Bombus terrestris uncharacterized LOC100642950 (LOC100642950), mRNA
XM_003393527.4	PREDICTED: Bombus terrestris uncharacterized LOC100643069 (LOC100643069), transcript variant X1, mRNA
XM_003393528.4	PREDICTED: Bombus terrestris glycine receptor subunit alpha-3 (LOC100643188), transcript variant X3, mRNA
XM_003393533.4	PREDICTED: Bombus terrestris 39S ribosomal protein L13, mitochondrial (LOC100643965), mRNA
XM_003393534.3	PREDICTED: Bombus terrestris zinc finger matrin-type protein 5 (LOC100644088), transcript variant X1, mRNA
XM_003393535.4	PREDICTED: Bombus terrestris 39S ribosomal protein L52, mitochondrial (LOC100644203), transcript variant X1, mRNA
XM_003393536.4	PREDICTED: Bombus terrestris rho guanine nucleotide exchange factor 11 (LOC100644321), transcript variant X1, mRNA
XM_003393538.4	PREDICTED: Bombus terrestris trafficking protein particle complex subunit 13 (LOC100644549), mRNA
XM_003393539.4	PREDICTED: Bombus terrestris GPN-loop GTPase 2 (LOC100644672), transcript variant X2, mRNA
XM_003393540.4	PREDICTED: Bombus terrestris PAX3- and PAX7-binding protein 1 (LOC100644794), transcript variant X1, mRNA
XM_003393541.4	PREDICTED: Bombus terrestris coatomer subunit delta (LOC100645041), mRNA
XM_003393545.4	PREDICTED: Bombus terrestris kinesin-like protein KIF3A (LOC100645515), mRNA
XM_003393546.3	PREDICTED: Bombus terrestris lysosomal Pro-X carboxypeptidase (LOC100645620), mRNA
XM_003393551.4	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase trithorax (LOC100646252), mRNA
XM_003393553.4	PREDICTED: Bombus terrestris calpain-A (LOC100646495), transcript variant X14, mRNA
XM_003393557.4	PREDICTED: Bombus terrestris toll-like receptor 7 (LOC100646856), mRNA
XM_003393558.4	PREDICTED: Bombus terrestris cell wall protein DAN4 (LOC100646975), mRNA
XM_003393559.4	PREDICTED: Bombus terrestris regulator of nonsense transcripts 2 (LOC100647091), transcript variant X1, mRNA
XM_003393560.4	PREDICTED: Bombus terrestris methylosome subunit pICln (LOC100647211), transcript variant X1, mRNA
XM_003393561.4	PREDICTED: Bombus terrestris homer protein homolog 2 (LOC100647328), transcript variant X1, mRNA
XM_003393562.4	PREDICTED: Bombus terrestris alpha/beta hydrolase domain-containing protein 17B (LOC100647450), transcript variant X1, mRNA
XM_003393564.4	PREDICTED: Bombus terrestris sorting nexin-24 (LOC100647762), mRNA
XM_003393566.4	PREDICTED: Bombus terrestris adrenodoxin-like protein 1, mitochondrial (LOC100647957), mRNA
XM_003393567.4	PREDICTED: Bombus terrestris sprouty-related, EVH1 domain-containing protein 1 (LOC100648084), transcript variant X2, mRNA
XM_003393569.4	PREDICTED: Bombus terrestris cyclin-C (LOC100648271), transcript variant X1, mRNA
XM_003393570.4	PREDICTED: Bombus terrestris cleavage and polyadenylation specificity factor subunit 1 (LOC100648387), mRNA
XM_003393571.4	PREDICTED: Bombus terrestris golgin-84 (LOC100648502), mRNA
XM_003393573.4	PREDICTED: Bombus terrestris general transcription factor IIH subunit 4 (LOC100648701), transcript variant X1, mRNA
XM_003393575.3	PREDICTED: Bombus terrestris ATP synthase subunit b, mitochondrial (LOC100648928), mRNA
XM_003393579.4	PREDICTED: Bombus terrestris serine/threonine-protein kinase minibrain (LOC100649438), transcript variant X1, mRNA
XM_003393580.4	PREDICTED: Bombus terrestris mismatch repair endonuclease PMS2 (LOC100649562), transcript variant X2, mRNA
XM_003393582.4	PREDICTED: Bombus terrestris CLK4-associating serine/arginine rich protein (LOC100649915), transcript variant X1, mRNA
XM_003393583.4	PREDICTED: Bombus terrestris cysteine-rich PDZ-binding protein (LOC100650269), transcript variant X1, mRNA
XM_003393584.3	PREDICTED: Bombus terrestris CCR4-NOT transcription complex subunit 11 (LOC100650391), mRNA
XM_003393585.4	PREDICTED: Bombus terrestris carboxypeptidase M (LOC100650514), transcript variant X3, mRNA
XM_003393586.4	PREDICTED: Bombus terrestris sentrin-specific protease 8 (LOC100650632), transcript variant X1, mRNA
XM_003393587.4	PREDICTED: Bombus terrestris sentrin-specific protease 8 (LOC100650632), transcript variant X2, mRNA
XM_003393589.3	PREDICTED: Bombus terrestris 60S ribosomal protein L11 (LOC100651068), mRNA
XM_003393590.4	PREDICTED: Bombus terrestris bromodomain-containing protein 4 (LOC100651274), mRNA
XM_003393591.4	PREDICTED: Bombus terrestris malignant T-cell-amplified sequence 1 homolog (LOC100651395), mRNA
XM_003393592.4	PREDICTED: Bombus terrestris vacuolar protein-sorting-associated protein 36 (LOC100651513), transcript variant X1, mRNA
XM_003393593.4	PREDICTED: Bombus terrestris uncharacterized LOC100651631 (LOC100651631), transcript variant X1, mRNA
